case_id,description
CS-001,"Three former Department of Homeland Security (DHS) employees were sentenced today in the District of Columbia for a conspiracy to steal proprietary software and sensitive law-enforcement databases from the U.S. government for use in a commercial venture. Charles K. Edwards, 63, of Sandy Spring, Maryland, was sentenced to one year and six months in prison. In January 2022, Edwards pleaded guilty to conspiracy to commit theft of government property and to defraud the United States and theft of government property. Sonal Patel, 49, of Sterling, Virginia, was sentenced to two years of probation. In April 2019, Patel pleaded guilty to conspiracy to commit theft of government property. Murali Y. Venkata, 58, of Aldie, Virginia, was sentenced to four months in prison. In April 2022, a jury convicted Venkata of conspiracy to commit theft of government property and to defraud the United States, theft of government property, wire fraud, and destruction of records. According to court documents and evidence presented at trial, Edwards was the former Acting Inspector General of the DHS Office of Inspector General (DHS-OIG). Patel and Venkata were employed in DHS-OIG‚Äôs information technology department. Edwards, Patel, and Venkata were all previously employed at the U.S. Postal Service Office of Inspector General (USPS-OIG). Edwards, Patel, and Venkata conspired to steal proprietary U.S. software and databases containing sensitive law-enforcement information and the personally identifiable information (PII) of over 200,000 federal employees from DHS-OIG and USPS-OIG. They planned to use the stolen software and databases to create a commercial software product to be offered for sale to government agencies. As part of the scheme, the co-conspirators disclosed the stolen software and databases containing PII to software developers located in India. After Venkata learned of the investigation, he deleted incriminating text messages and other communications in an effort to obstruct the investigation. Acting Assistant Attorney General Nicole M. Argentieri of the Justice Department‚Äôs Criminal Division, U.S. Attorney Matthew M. Graves for the District of Columbia, Inspector General Joseph V. Cuffari of DHS-OIG, and Executive Special Agent in Charge Michael Ray of USPS-OIG made the announcement."
CS-002 ,"A United States Navy service member was sentenced today to 27 months in federal prison for transmitting sensitive U.S. military information to an intelligence officer from the People‚Äôs Republic of China. Wenheng Zhao, 26, also known as Thomas Zhao, of Monterey Park, was sentenced by United States District Judge R. Gary Klausner, who also fined Zhao $5,500. Zhao pleaded guilty in October 2023 to one count of conspiracy and one count of receiving a bribe in violation of his official duties. Zhao, who was stationed at Naval Base Ventura County in Port Hueneme, held a U.S. security government clearance and underwent routine trainings on efforts by hostile nation states to acquire sensitive information. Between August 2021 and at least May 2023, Zhao received at least $14,866 in 14 separate bribe payments from the intelligence officer, who directed Zhao to surreptitious collect and transmit sensitive U.S. military information and offered to pay Zhao bonuses for controlled and classified information. In exchange for the illicit payments, Zhao repeatedly entered restricted military and naval installations to secretly collect non-public information regarding U.S. Navy operational security, military trainings and exercises, and critical infrastructure. Zhao used encrypted communications to transmit that sensitive, non-public information to the intelligence officer. Zhao transmitted plans for a large-scale maritime training exercise in the Pacific theatre, operational orders, and electrical diagrams and blueprints for a Ground/Air Task Oriented Radar system located in Okinawa, Japan. Zhao attempted to conceal his crimes and his relationship with the intelligence officer by destroying evidence. ‚ÄúZhao betrayed his country and disgraced himself when he accepted bribes from an intelligence officer with the People‚Äôs Republic of China,‚Äù said United States Attorney Martin Estrada. ‚ÄúAs a result, he has now been removed from the military and will serve time in federal prison. Today‚Äôs sentence shows that my office will swiftly act to root out and punish those who seek to undermine our nation‚Äôs security.‚Äù ‚ÄúMr. Zhao betrayed his solemn oath to defend his country and endangered those who serve in the U.S. military,‚Äù said Assistant Attorney General Matthew G. Olsen of the Justice Department‚Äôs National Security Division. ‚ÄúToday, he is being held to account for those crimes. The Justice Department is committed to combatting the Chinese government‚Äôs efforts to undermine our nation‚Äôs security and holding accountable those who violate our laws as part of those efforts.‚Äù ‚ÄúMr. Zhao abdicated his oath to the United States and put American troops in harm's way when he accessed and handed over sensitive information to China for a payout,‚Äù said Donald Alway, the Assistant Director in Charge of the FBI's Los Angeles Field Office. ‚ÄúToday's sentence should make it very clear that the FBI and our partners in the military and at the U.S. Attorney's Office will hold accountable anyone who succumbs to advances by the Chinese or any U.S. adversary, and in doing so, puts American secrets and American lives at risk.‚Äù ‚ÄúMr. Zhao betrayed his oath to the United States and deserves to be held fully accountable for accepting bribes in exchange for transmitting sensitive U.S. military information to an intelligence officer from the People‚Äôs Republic of China,‚Äù said Acting Special Agent in Charge Angel Cruz of the Naval Criminal Investigative Service (NCIS) Office of Special Projects."
CS-003,"A California man was sentenced today in federal court in Boston for embezzling over $1.2 million from his employer over a 16-year period. Darrell Pike, 57, of Hesperia, Calif., was sentenced by U.S. District Court Judge Judge Myong J. Joun to three months in prison to be followed by three years of supervised release, with the first nine months to be served in home confinement. Pike was also ordered to pay restitution and forfeiture of $1,232,001. In October 2022, Pike pleaded guilty to one count of mail fraud. Pike was the general manager of an Ontario, Calif. subsidiary of a supply and service company based in Wilmington, Mass. Between approximately 2005 and 2021, Pike prepared and submitted fraudulent invoices to his employer on behalf of a fake temporary staffing company, Consumer Information Systems (CIS), for staffing services CIS purportedly provided at his employerís Ontario location. Pike added approving initials of company personnel to the invoices without their knowledge or consent. Through the fraudulent invoices, Pike caused the company to pay approximately $1,271,206 to CIS, which he deposited into a bank account he controlled. Acting United States Attorney Joshua S. Levy and Jodi Cohen, Special Agent in Charge of the Federal Bureau of Investigation, Boston Division made the announcement today. Assistant U.S. Attorney Kriss Basil of the Securities, Financial & Cyber Fraud Unit prosecuted the case."
CS-004,"Damian Williams, the United States Attorney for the Southern District of New York, announced that NICKOLAS SHARP pled guilty today in Manhattan federal court to multiple federal crimes in connection with a scheme he perpetrated to secretly steal gigabytes of confidential files from a public New York-based technology company where he was employed (Company-1). While purportedly working to remediate the security breach for Company-1, SHARP extorted the company for nearly $2 million for the return of the files and the identification of a remaining purported vulnerability. SHARP subsequently re-victimized his employer by causing the publication of misleading news articles about the company‚Äôs handling of the breach that he perpetrated, which were followed by the loss of over $4 billion in Company-1ís market capitalization. SHARP pled guilty to intentionally damaging a protected computer, wire fraud, and making false statements to the Federal Bureau of Investigation (FBI) before U.S. District Judge Katherine Polk Failla. U.S. Attorney Damian Williams said: Nickolas Sharpís company entrusted him with confidential information that he exploited and held for ransom. Adding insult to injury, when Sharp wasnít given his ransom demands, he retaliated by causing false news stories to be published about the company, which resulted in his companyís market capitalization plummeting by over $4 billion. Sharpís guilty plea today ensures that he will face the consequences of his destructive actions. As alleged in the Indictment and based on statements and filings made in court: At all times relevant to the Indictment, Company-1 was a technology company headquartered in New York that manufactured and sold wireless communications products and whose shares were traded on the New York Stock Exchange. NICKOLAS SHARP was employed by Company-1 from in or about August 2018 through on or about April 1, 2021. SHARP was a senior developer who had access to credentials for Company-1ís Amazon Web Services (AWS) and GitHub Inc. (GitHub) servers. In about December 2020, SHARP repeatedly misused his administrative access to download gigabytes of confidential data from his employer. For the majority of this cybersecurity incident, SHARP used a virtual private network (VPN) service that he subscribed to from a company named Surfshark to mask his Internet Protocol (IP) address when he accessed Company-1ís AWS and GitHub infrastructure without authorization. At one point during the exfiltration of Company-1 data, SHARPís home IP address became unmasked following a temporary internet outage at SHARPís home. During the course of the Incident, SHARP caused damage to Company-1ís computer systems by altering log retention policies and other files in order to conceal his unauthorized activity on the network. In or about January 2021, while working on a team remediating the effects of the Incident, SHARP sent a ransom note to Company-1, posing as an anonymous attacker who claimed to have obtained unauthorized access to Company-1ís computer networks. The ransom note sought 50 Bitcoin, a cryptocurrency which was the equivalent of approximately $1.9 million, based on the prevailing exchange rate at the time ‚Äî in exchange for the return of the stolen data and the identification of a purported backdoor, or vulnerability, to Company-1ís computer systems. After Company-1 refused the demand, SHARP published a portion of the stolen files on a publicly accessible online platform. On or about March 24, 2021, FBI agents executed a search warrant at SHARPís residence in Portland, Oregon, and seized certain electronic devices belonging to SHARP. During the execution of that search, SHARP made numerous false statements to FBI agents, including, among other things, in substance, that he was not the perpetrator of the Incident and that he had not used Surfshark VPN prior to the discovery of the Incident. When confronted with records demonstrating that SHARP purchased the Surfshark VPN service in July 2020, approximately six months prior to the Incident, SHARP falsely stated, in part and substance, that someone else must have used his PayPal account to make the purchase. Several days after the FBI executed the search warrant at SHARP‚Äôs residence, SHARP caused false news stories to be published about the Incident and Company-1ís response to the Incident and related disclosures. In those stories, SHARP identified himself as an anonymous whistleblower within Company-1 who had worked on remediating the Incident. In particular, SHARP falsely claimed that Company-1 had been hacked by an unidentified perpetrator who maliciously acquired root administrator access to Company-1ís AWS accounts. In fact, as SHARP well knew, SHARP had taken Company-1ís data using credentials to which he had access in his role as Company1ís AWS cloud administrator, and SHARP had used that data in a failed attempt to extort Company-1 for millions of dollars. Following the publication of these articles, between March 30, 2021, and March 31, 2021, Company-1ís stock price fell approximately 20%, losing over $4 billion in market capitalization. * * * SHARP, 37, of Portland, Oregon, pled guilty today to one count of transmitting a program to a protected computer that intentionally caused damage, one count of wire fraud, and one count of making false statements to the FBI. These offenses carry a total maximum sentence of 35 years in prison. The maximum potential sentences are prescribed by Congress and are provided here for informational purposes only, as any sentencing of the defendant will be determined by the judge. SHARP is scheduled to be sentenced by Judge Failla on May 10, 2023, at 3:00 p.m. Mr. Williams praised the outstanding investigative work of the FBI. This case is being handled by the Office‚Äôs Complex Frauds and Cybercrime Unit. Assistant U.S. Attorneys Vladislav Vainberg and Andrew K. Chan are in charge of the prosecution."
CS-005,"HONOLULU Casey K. Umetsu, Sr., age 40, of Honolulu, Hawaii, pled guilty today before United States District Judge Jill A. Otake to sabotaging his former employerís computer network. Sentencing is set for January 19, 2023. According to court documents and information presented in court, Umetsu worked as an information technology professional for a prominent Hawaii-based financial company between 2017 and 2019. In that role, Umetsu was responsible for administering the companyís computer network and assisting other employees with computer and technology problems. As part of his guilty plea, Umetsu admitted that, shortly after severing all ties with the company, he accessed a website the company used to manage its internet domain. After using his former employerís credentials to access the companyís configuration settings on that website, Umetsu made numerous changes, including purposefully misdirecting web and email traffic to computers unaffiliated with the company, thereby incapacitating the companyís web presence and email. Umetsu then prolonged the outage for several days by taking a variety of steps to keep the company locked out of the website. Umetsu admitted he caused the damage as part of a scheme to convince the company it should hire him back at a higher salary. Umetsu criminally abused the special access privileges given to him by his employer to disrupt its network operations for personal gain, said U.S. Attorney Clare E. Connors. Those who compromise the security of a computer network ‚Äì whether government, business, or personal ‚Äì will be investigated and prosecuted, including technology personnel whose access was granted by the victim. This is a great example of a company partnering, and working with the FBI, to catch a former employee who sabotaged their network for their own personal gain, said FBI Special Agent in Charge Steven Merrill. We encourage companies to include the FBI as part of their cybersecurity incident plan so we can assist when they have a cyber incident. Umetsu faces a maximum sentence of 10 years in prison, a fine of up to $250,000, and a term of supervised release of up to 3 years."
CS-006,"Sudhish Kasaba Ramesh was sentenced today to 24 months in prison and ordered to pay a $15,000 fine for intentionally accessing a protected computer without authorization and recklessly causing damage, announced United States Attorney David L. Anderson and Federal Bureau of Investigation Special Agent in Charge Craig D. Fair. The sentence was handed down by the Honorable Lucy H. Koh, U.S. District Judge. Ramesh, 31, of San Jose, pleaded guilty on August 26, 2020, to one count of intentionally accessing a protected computer without authorization and recklessly causing damage to Cisco. Ramesh worked for Cisco but resigned in approximately April 2018. According to the plea agreement, Ramesh admitted to intentionally accessing the Cisco Systems cloud infrastructure that was hosted by Amazon Web Services without Ciscoís permission on September 24, 2018. Ramesh further admitted that during his unauthorized access he deployed code from his Google Cloud Project account that resulted in the deletion of 456 virtual machines for Ciscoís WebEx Teams application, which provides video meetings, video messaging, file sharing, and other collaboration tools. He admitted that he acted recklessly in deploying the code and consciously disregarded the substantial risk that his conduct would harm Cisco. As a result of Rameshís conduct, over 16,000 WebEx Teams accounts were shut down for up to two weeks and caused Cisco to spend approximately $1,400,000 in employee time to restore the damage to the application and refund over $1,000,000 to affected customers. No customer data was compromised as a result of the defendantís conduct. Ramesh was charged by an information on July 13, 2020, with one count of Intentionally Accessing a Protected Computer Without Authorization and Recklessly Causing Damage, in violation of 18 U.S.C. ß 1030(a)(5)(B) and (c)(4)(A)(i)(I). U.S. District Judge Koh sentenced Ramesh today, following his guilty plea on August 26, 2020, to one count of Intentionally Accessing a Protected Computer Without Authorization and Recklessly Causing Damage, in violation of 18 U.S.C. ß 1030(a)(5)(B) and (c)(4)(A)(i)(I). The defendant was further sentenced to serve a one-year period of supervised release following the 24 months in prison and to pay a $15,000 fine. The defendant is out of custody and will begin serving the sentence on February 10, 2021."
CS-008,"Damian Williams, the United States Attorney for the Southern District of New York; Matthew G. Olsen, the Assistant Attorney General for National Security; and James Smith, the Assistant Director in Charge of the New York Field Office of the Federal Bureau of Investigation (""FBI""), announced today that JOSHUA ADAM SCHULTE was sentenced to 40 years in prison by U.S. District Judge Jesse M. Furman for crimes of espionage, computer hacking, contempt of Court, making false statements to the FBI, and child pornography. SCHULTE's theft is the largest data breach in the history of the CIA, and his transmission of that stolen information to WikiLeaks is one of the largest unauthorized disclosures of classified information in the history of the U.S. Today's sentencing followed SCHULTE's convictions at trials that concluded on March 9, 2020, July 13, 2022, and September 13, 2023. U.S. Attorney Damian Williams said: ""Joshua Schulte betrayed his country by committing some of the most brazen, heinous crimes of espionage in American history. He caused untold damage to our national security in his quest for revenge against the CIA for its response to Schulte's security breaches while employed there. When the FBI caught him, Schulte doubled down and tried to cause even more harm to this nation by waging what he described as an 'information war' of publishing top secret information from behind bars. And all the while, Schulte collected thousands upon thousands of videos and images of children being subjected to sickening abuse for his own personal gratification. The outstanding investigative work of the FBI and the career prosecutors in this Office unmasked Schulte for the traitor and predator that he is and made sure that he will spend 40 years behind bars, right where he belongs."" Assistant Attorney General Matthew G. Olsen said: ""Mr. Schulte severely harmed U.S. national security and directly risked the lives of CIA personnel, persisting in his efforts even after his arrest. As today's sentence reaffirms, the Department of Justice is committed to investigating, prosecuting, and holding accountable those who would violate their constitutional oath and betray the trust of the American people they pledged to protect."" FBI Assistant Director in Charge James Smith said: ""Today, Joshua Schulte was rightly punished not only for his betrayal of our country, but for his substantial possession of horrific child pornographic material. The severity of his actions is evident, and the sentence imposed reflects the magnitude of the disturbing and harmful threat posed by his criminal conduct. The FBI will not yield in our efforts to bring to justice anyone who endangers innocent children or threatens our national security."" According to court documents and evidence at trial: From 2012 to 2016, SCHULTE was employed as a software developer in the Center for Cyber Intelligence (""CCI""), which conducts offensive cyber operations: cyber espionage relating to terrorist organizations and foreign governments. SCHULTE and other CCI developers worked on tools that were used in, among other things, human-enabled operations: cyber operations that involved a person with access to the computer network being targeted by the cyber tool. In addition to being a developer, SCHULTE was also temporarily one of the administrators of one of the servers and suite of development programs used to build cyber tools. In March 2016, SCHULTE was moved within branches of CCI as a result of personnel disputes between SCHULTE and another developer. Following that transfer, in April 2016, SCHULTE abused his administrator powers to grant himself administrator privileges over a development project from which he had been removed as a result of the branch change. SCHULTE's abuse of administrator privileges was detected, and CCI leadership directed that administrator privileges would immediately be transferred from developers, including SCHULTE, to another division. SCHULTE was also given a warning about self-granting administrator privileges that had previously been revoked. SCHULTE had, however, secretly opened an administrator session on one of the servers before his privileges were removed. On April 20, 2016, after other developers had left the CCI office, SCHULTE used his secret server administrator session to execute a series of cyber-maneuvers on the CIA network to restore his revoked privileges, break into the backups, steal copies of the entire CCI tool development archives (the ""Stolen CIA Files""), revert the network back to its prior state, and delete hundreds of log files in an attempt to cover his tracks. SCHULTE's theft of the Stolen CIA Files is the largest data breach in CIA history. From his home computer, SCHULTE then transmitted the Stolen CIA Files to WikiLeaks, using anonymizing tools recommended by WikiLeaks to potential leakers, such as the Tails operating system and the Tor browser. On May 5, 2016, having transmitted the Stolen CIA Files to WikiLeaks, SCHULTE wiped and reformatted his home computer's internal hard drives. On March 7, 2017, WikiLeaks began publishing classified data from the Stolen CIA Files. Between March and November 2017, there were a total of 26 disclosures of classified data from the Stolen CIA Files that WikiLeaks denominated as Vault 7 and Vault 8 (the ""WikiLeaks Disclosures""). The WikiLeaks Disclosures were one of the largest unauthorized disclosures of classified information in the history of the U.S., and SCHULTE's theft and disclosure immediately and profoundly damaged the CIA's ability to collect foreign intelligence against America's adversaries; placed CIA personnel, programs, and assets directly at risk; and cost the CIA hundreds of millions of dollars. The effect was described at trial by the former CIA Deputy Director of Digital Innovation as a ""digital Pearl Harbor,"" and the disclosure caused exceptionally grave harm to the national security of the U.S. Following the WikiLeaks Disclosures, SCHULTE was voluntarily interviewed on multiple occasions by the FBI in March 2017. During those interviews, SCHULTE repeatedly lied, including denying being responsible for the theft of the Stolen CIA Files or for the WikiLeaks Disclosures and spinning fake narratives about ways the Stolen CIA Files could have been obtained from CIA computers, in the hope of deflecting suspicion away from SCHULTE and diverting law enforcement resources to false leads. In March 2017, the FBI searched SCHULTE's apartment in New York pursuant to a search warrant and recovered, among other things, multiple computers, servers, and other electronic storage devices, including SCHULTE's personal desktop computer (the ""Desktop Computer""), which SCHULTE built while living in Virginia and then transported to New York in November 2016. While detained pending trial, in approximately April 2018, SCHULTE sent a copy of the affidavit in support of the warrant to search his apartment, which a protective order entered by the Court prohibited SCHULTE from disseminating, to reporters from two different newspapers, and SCHULTE acknowledged in recorded phone calls that he knew he was prohibited from sharing protected material like the affidavit. Despite being warned by the Court not to violate the protective order further, in the summer and fall of 2018, SCHULTE made plans to wage what he proclaimed to be an ""information war"" against the U.S. government. To pursue these ends, SCHULTE obtained access to contraband cellphones while in jail that he used to create anonymous, encrypted email and social media accounts. SCHULTE also attempted to use the contraband cellphones to transmit protected discovery materials to WikiLeaks and planned to use the anonymous email and social media accounts to publish a manifesto and various other postings containing classified information about CIA cyber techniques and cyber tools. In a journal, SCHULTE wrote that he planned to ""break up diplomatic relationships, close embassies, [and] end U.S. occupation across the world[.]"" SCHULTE successfully sent emails containing classified information about the CCI development network and the number of employees in particular CIA cyber intelligence groups to a reporter. As a result of this conduct, on March 9, 2020, SCHULTE was found guilty at trial of contempt of court and making material false statements. On July 13, 2022, SCHULTE was found guilty at trial of eight counts: illegal gathering and transmission of national defense information in connection with his theft and dissemination of the Stolen CIA Files, illegal transmission and attempted transmission of national defense information, unauthorized access to a computer to obtain classified information and information from a department or agency of the U.S. in connection with his theft of the Stolen CIA Files, and two counts of causing transmission of harmful computer commands in connection with his theft of the Stolen CIA Files. Finally, on September 13, 2023, SCHULTE was found guilty at trial on charges of receiving, possessing, and transporting child pornography."
CS-010,"Damian Williams, the United States Attorney for the Southern District of New York, announced today that VINCENT CANNADY was arrested in connection with his scheme to extort a publicly traded information technology infrastructure services provider of up to $1.5 million by threatening to publicly disclose the companyís confidential and proprietary information. CANNADY was arrested in El Dorado Springs, Missouri, this morning and is expected to appear in Missouri federal court tomorrow. U.S. Attorney Damian Williams said: ìAs alleged, Vincent Cannady used illegal and extortionate threats for the purpose of obtaining over a million dollars in payments from a public company after his engagement was terminated. When those entrusted with sensitive information steal that information on their way out the door, only to extort money with a threat of releasing that information, my Office will hold them responsible for their conduct.î As alleged in the Complaint: CANNADY was assigned by a staffing company to work on an engagement with the victim company. Under the engagement, CANNADYís responsibilities included assessing and remediating potential vulnerabilities that an unauthorized party could use to access the victimís information systems. As a result, CANNADY had access to the victim companyís sensitive and proprietary information. After about a year, CANNADYís engagement was terminated. Days after, and while he still had access to the companyís information, CANNADY downloaded the companyís sensitive and proprietary information without its authorization and uploaded the information to a personal cloud storage account. CANNADY then demanded that the company settle unspecified discrimination and emotional distress claims. He threatened to ìupload all of the documents in his possession immediately once the case is filedî if the company did not settle his claims for $1.5 million. He added, ì[a]s we all know those documents will imperil [the companyís] reputation and shake investor confidence.î He specifically demanded ìa 10 year Certificate of Deposit for 1.5 million dollars,î which would ìbuy an attestation that all files destroyed by me and a gag order preventing me from ever talking about what I saw or the documents I had in my possession or the documents I had created at [the company] or downloaded.î At several points during his attempt to get the company to agree to a settlement, CANNADY sought specifically to add provisions to a draft settlement agreement that would prohibit the company from pursuing criminal charges against him in connection with the settlement. VINCENT CANNADY, 57, of El Dorado Springs, Missouri, is charged with Hobbs Act extortion, which carries a maximum sentence of 20 years in prison. The maximum potential sentence is prescribed by Congress and is provided here for informational purposes only, as any sentencing of the defendant will be determined by a judge."
CS-012,"A manufacturer and exporter of wind turbines based in the Peopleís Republic of China was sentenced today for stealing trade secrets from AMSC, a U.S.-based company formerly known as American Superconductor Inc., announced Acting Assistant Attorney General John P. Cronan of the Justice Departmentís Criminal Division and U.S. Attorney Scott C. Blader for the Western District of Wisconsin. The Court found that AMSCís losses from the theft exceeded $550 million, and imposed the maximum statutory fine in the amount of $1.5 million on Sinovel Wind Group LLC. The Court found that the parties settled the restitution amount, and imposed a year of probation until Sinovel pays the full restitution amount. Sinovel has paid $32.5 million to AMSC this week and will pay $25 million within its year of probation. Sinovel will also pay $850,000 to additional victims within its year of probation. Sinovel was convicted of conspiracy to commit trade secret theft, theft of trade secrets, and wire fraud on Jan. 24 following an 11-day jury trial in Madison, Wisconsin. ìRather than pay AMSC for more than $800 million in products and services it had agreed to purchase, Sinovel instead hatched a scheme to brazenly steal AMSCís proprietary wind turbine technology, causing the loss of almost 700 jobs and more than $1 billion in shareholder equity at AMSC,î said Acting Assistant Attorney General Cronan. ìAs demonstrated by this prosecution, intellectual property theft poses a serious threat to American companies, and the Department of Justice is committed to aggressively investigating and prosecuting individuals and corporations who undermine American competitiveness by stealing what they did not themselves create.î ìThis case is about protecting American ideas and ingenuity,î said U.S. Attorney Blader. ìMy office is committed to prosecuting the theft of intellectual property to ensure an open and fair marketplace. The devastation Sinovelís illegal actions caused to AMSC and its employees will not be tolerated.î As proven at trial, Sinovel stole proprietary wind turbine technology from AMSC in order to produce its own turbines powered by the stolen intellectual property. AMSC developed the technology ñ software that regulates the flow of electricity from wind turbines to electrical grids ñ in Wisconsin and elsewhere. At the time of the theft in March 2011, Sinovel had contracted with AMSC for more than $800 million in products and services to be used for the wind turbines that Sinovel manufactured, sold, and serviced. Sinovel was charged on June 27, 2013, along with Su Liying, the deputy director of Sinovelís Research and Development Department; Zhao Haichun, a technology manager for Sinovel; and Dejan Karabasevic, a former employee of AMSC Windtec GmbH, a wholly-owned subsidiary of AMSC. The evidence presented at trial showed that Sinovel conspired with the other defendants to obtain AMSCís copyrighted information and trade secrets in order to produce wind turbines and to retrofit existing wind turbines with AMSC technology without paying AMSC the more than $800 million it was owed and promised. Through Su and Zhao, Sinovel convinced Karabasevic, who was head of AMSC Windtecís automation engineering department in Klagenfurt, Austria, to leave AMSC Windtec, to join Sinovel, and to steal intellectual property from the AMSC computer system by secretly downloading source code on March 7, 2011, from an AMSC computer in Wisconsin to a computer in Klagenfurt. Sinovel then commissioned several wind turbines in Massachusetts and copied into the turbines software compiled from the source code stolen from AMSC. The U.S.-based builders of these Massachusetts turbines helped bring Sinovel to justice. Su and Zhao are Chinese nationals living in China, and Karabasevic is a Serbian national who lived in Austria, but now lives in Serbia. According to evidence presented at trial, following the theft, AMSC suffered severe financial hardship. It lost more than $1 billion in shareholder equity and almost 700 jobs, over half its global workforce."
CS-018,"Paducah, KY ñ A federal grand jury in Paducah returned an indictment today charging a Marshall County woman with six counts of wire fraud. U.S. Attorney Michael A. Bennett of the Western District of Kentucky, Special Agent in Charge Michael E. Stansbury of the FBI Louisville Field Office, and Sheriff Matt Hilbrecht of the Marshall County Sheriffís Office made the announcement. According to the indictment, from May 2020 to May 2023, Amanda S. Robertson, 33, used her position as a bookkeeper to unlawfully obtain funds and services totaling over $1,000,000 from her employerís account. By accessing the companyís bank accounts, she scheduled unauthorized electronic payments and issued company checks to pay her personal expenses. Robertson will make her initial appearance at a future date before a U.S. Magistrate Judge of the U.S. District Court for the Western District of Kentucky. If convicted, Robertson faces a maximum sentence of 120 years in prison. A federal district court judge will determine any sentence after considering the sentencing guidelines and other statutory factors. There is no parole in the federal system. This case is being investigated by the FBI and the Marshall County Sheriffís Office. Assistant U.S. Attorney Raymond McGee, of the U.S. Attorneyís Paducah Branch Office, is prosecuting the case. An indictment is merely an allegation. All defendants are presumed innocent until proven guilty beyond a reasonable doubt in a court of law."
